Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Section)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	School	Class
1	assign-filtered	39e29a9f4331960c3cb262f1b1b83d5b	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:44:03	US/Eastern	0	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Create Box							CMU	Intro to Philosophy - Harrell
2	assign-filtered	b00bc2781b74f1d015406122c95133f1	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:44:20	US/Eastern	8.5	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Modify Text							CMU	Intro to Philosophy - Harrell
3	assign-filtered	4a019eea8ff92988466d4277905fb422	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:44:20	US/Eastern	8.5	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					835	Create Box							CMU	Intro to Philosophy - Harrell
4	assign-filtered	8433abeff351a6418f182ee7d19bc6c0	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:44:23	US/Eastern	3	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					835	Reposition Box	PosX: 2409; PosY: 2225						CMU	Intro to Philosophy - Harrell
5	assign-filtered	660826f1ba1715485d248224ea4a51b9	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:44:25	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Reposition Box	PosX: 2644; PosY: 2549						CMU	Intro to Philosophy - Harrell
6	assign-filtered	45253ddaaa44d0a76dc044a755fdea24	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:46:29	US/Eastern	124	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					835	Modify Text	Nothing is esteemed a miracle, if it ever happened in the common course of nature.						CMU	Intro to Philosophy - Harrell
7	assign-filtered	905a44410c9a694a2067a4cf61b1ac93	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:46:40	US/Eastern	11	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Reposition Box	PosX: 2572; PosY: 2518						CMU	Intro to Philosophy - Harrell
8	assign-filtered	52a15bdc48400d05b7518b44709c5a6c	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:46:50	US/Eastern	10	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					835	Reposition Box	PosX: 2395; PosY: 2211						CMU	Intro to Philosophy - Harrell
9	assign-filtered	6a2d9ac15d855a3958f1f8b360b48ac7	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:48:04	US/Eastern	74	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Reposition Box	PosX: 2270; PosY: 2520						CMU	Intro to Philosophy - Harrell
10	assign-filtered	fa98b42ffddc0cc5b691a034bf8c0965	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:48:30	US/Eastern	26	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Modify Text	A miracle is a violation of the laws of nature						CMU	Intro to Philosophy - Harrell
